exchange	lower_bound	upper_bound	medium
EX_MNXM128_e	-100	1000	M9
EX_MNXM735978_e	-100	1000	M9
EX_MNXM90960_e	-100	1000	M9
EX_MNXM731166_e	-100	1000	M9
EX_MNXM1370983_e	-100	1000	M9
EX_MNXM1370984_e	-100	1000	M9
EX_MNXM1364061_e	-100	1000	M9
EX_WATER_e	-100	1000	M9
EX_MNXM1_e	-100	1000	M9
EX_MNXM95_e	-100	1000	M9
EX_MNXM653_e	-100	1000	M9
EX_MNXM2255_e	-100	1000	M9
EX_MNXM726092_e	-100	1000	M9
EX_MNXM27_e	-100	1000	M9
EX_MNXM729302_e	-100	1000	M9
EX_MNXM731950_e	-100	1000	M9
EX_MNXM735438_e	-100	1000	M9
EX_MNXM9_e	-100	1000	M9
EX_MNXM58_e	-100	1000	M9
EX_MNXM729215_e	-100	1000	M9
