gene	measured_pct_wt	iml_gene	map_route_x	n_rxn_x	n_rxn_y	rxns	ref_flux_max	wt_relax	fba_relax	wt_force	fba_force	delta_relax	delta_relax_pct	answered_relax	delta_force	delta_force_pct	answered_force	map_route_y	measured_pct_change	measured_sign	sign_relax	match_relax	sign_force	match_force	ecspr_channel	ecspr_delta_gg_pct	ecspr_delta_ratio_pct	ecspr_gg_match	ecspr_ratio_match	in_ecspr	in_fba
hokA	32.5			0																					denovo	3.138984419111387e-07	-0.00022643715232621006	False	True	True	False
holC	52.7			0																										False	False
hyuA	161.0	b2873	b_number	1	1.0	PHDA	0.0	0.8966923076922516	0.8966923076928421	0.8966923076153507		5.905276267981208e-13	6.585621642254483e-11	False			False	b_number	61.0	1.0	1.0		0.0		denovo	1.7812765625559069e-12	-3.0848150039994503e-12	True	False	True	True
malP	60.8	b3417	b_number	5	5.0	GLCP,GLCP2,MLTP1,MLTP2,MLTP3	0.0	0.8966923076922516	0.896692307691399	0.8966923076153507		-8.526512829121202e-13	-9.508850199758305e-11	False			False	b_number	-39.2	-1.0	-1.0		0.0		gem	6.943777050263608	1.0908626811061863	False	False	True	True
malT	66.9			0																					denovo	1.8975809641769897e-06	-1.6234071175007475e-05	False	True	True	False
mdtG	196.4			0																										False	False
metH	47.7	b4019	b_number	1	1.0	METS	0.12183517171955896	0.8966923076922516	0.8966923076927484	0.8966923076153507	0.7145252961263063	4.968248035197576e-13	5.54063862551021e-11	False	-0.18216701148904435	-20.31544264871597	True	b_number	-52.3	-1.0	1.0		-1.0	True	gem	8.57472779974437e-05	-0.0003940612850272466	False	True	True	True
mlc	58.8			0																					denovo	0.06659211566454515	0.06257353901670983	False	False	True	False
nagB	44.7	b0678	b_number	1	1.0	G6PDA	0.0	0.8966923076922516	0.8966923076918295	0.8966923076153507	0.8890000000206015	-4.221067939624845e-13	-4.707376101494932e-11	False	-0.007692307594749148	-0.8578536393610813	True	b_number	-55.3	-1.0	-1.0		-1.0	True	gem	0.00013216175962761336	-0.006053863140595301	False	True	True	True
nagD	30.5	b0675	b_number	7	7.0	G3PT,NTD2,NTD4,NTD7,NTD9,PYDXPP,R5PP	0.0	0.8966923076922516	0.8966923076912546	0.8966923076153507	0.8436404907201508	-9.969802761133906e-13	-1.1118421197113226e-10	False	-0.05305181689519989	-5.9163903208097155	True	b_number	-69.5	-1.0	-1.0		-1.0	True	denovo	0.00032809672083935375	-0.010433095096121059	False	True	True	True
napF	53.8			0																					denovo	1.1011052615083856e-05	9.331194367984673e-06	False	False	True	False
pfs	68.9	b0159	b_number	3	3.0	5DOAN,AHCYSNS,MTAN	0.00035360527685694124	0.8966923076922516	0.89669230769279	0.8966923076153507		5.383471446407384e-13	6.003699820133857e-11	False			False	b_number	-31.099999999999994	-1.0	1.0		0.0		gem	1.6970635234843017e-05	-0.0019525449102432608	False	True	True	True
phr	47.7			0																					denovo	3.5599510642508254e-09	-2.2991757055454334e-05	False	True	True	False
pnp	66.9			0																					denovo	0.0	0.0	False	False	True	False
ppdB	162.0			0																										False	False
ppk	61.8	b2501	b_number	2	2.0	PPK,PPK2	0.0	0.8966923076922516	0.8966923076926084	0.8966923076153507	0.8813076923092121	3.568256801145253e-13	3.9793547580759364e-11	False	-0.01538461530613855	-1.7157072917299974	True	b_number	-38.2	-1.0	1.0		-1.0	True	gem	3.4307768489550107e-06	-0.0004191846129809626	False	True	True	True
ppx	211.5	b2502	b_number	2	2.0	PPA,PPA2	3.6604672051190903	0.8966923076922516	0.8966923076923365	0.8966923076153507	0.7422736194736861	8.493206138382448e-14	9.471706253665499e-12	False	-0.1544186881416646	-17.220922587406065	True	b_number	111.5	1.0	1.0		-1.0	False	gem	0.0	0.0	False	False	True	True
prfB	41.6			0																										False	False
pspE	160.0	b1308	b_number	1	1.0	CYANSTpp	0.0	0.8966923076922516	0.8966923076932362	0.8966923076153507		9.845457782375888e-13	1.0979750465033417e-10	False			False	b_number	60.0	1.0	1.0		0.0		gem	0.0	0.0	False	False	True	True
pstC	38.6	b3727	b_number	1	1.0	PIuabcpp	0.0	0.8966923076922516	0.896692307692406	0.8966923076153507	0.8909230769305476	1.5443202272535927e-13	1.7222409671697658e-11	False	-0.005769230684803062	-0.6433902282652186	True	b_number	-61.4	-1.0	1.0		-1.0	True						False	True
ptsI	149.8	b2416	b_number	21	21.0	2DGLCptspp,ACGAptspp,ACMANAptspp,ACMUMptspp,ARBTptspp,ASCBptspp,CELBpts,CHTBSptspp,DHAPT,FRUpts2pp,FRUptspp,GALTptspp,GAMptspp,GLCptspp,MALTptspp,MANGLYCptspp,MANptspp,MNLptspp,SBTptspp,SUCptspp,TREptspp	10.0	0.8966923076922516	0.8966923076900563	0.8966923076153507		-2.1953550088937845e-12	-2.448281300130478e-10	False			False	b_number	49.80000000000001	1.0	-1.0		0.0		gem	0.04771327625624326	0.04284706451446732	True	True	True	True
ptsN	21.4			0																										False	False
putP	157.9	b1015	b_number	2	2.0	PPAt4pp,PROt4pp	0.004108293450983127	0.8966923076922516	0.896692307693009	0.8966923076153507		7.573941473992818e-13	8.446533341504057e-11	False			False	b_number	57.900000000000006	1.0	1.0		0.0							False	True
rbsR	161.0			0																										False	False
recQ	8.2			0																					denovo	2.469478001548095e-09	-4.4661544993198964e-08	False	True	True	False
rpiB	35.5	b4090	b_number	2	2.0	ALLPI,RPI	1.2460931909180901	0.8966923076922516	0.8966923076917395	0.8966923076153507		-5.121458812595847e-13	-5.7115007775371175e-11	False			False	b_number	-64.5	-1.0	-1.0		0.0		gem	0.05015201809718521	-0.03780124567970872	False	True	True	True
rpoS	230.8			0																										False	False
rutF	177.1	b1007	b_number	1	1.0	PYROX	0.0	0.8966923076922516	0.8966923076915132	0.8966923076153507	0.744769230761124	-7.384093336781916e-13	-8.234812848775064e-11	False	-0.15192307685422668	-16.942609584579632	True	b_number	77.1	1.0	-1.0		-1.0	False	gem	3.63360430738701e-07	-2.5464483445404726e-06	True	False	True	True
serB	49.7	b4388	b_number	1	1.0	PSP_L	1.3558824642150735	0.8966923076922516	0.8966923076921567	0.8966923076153507	0.829904390318988	-9.492406860545088e-14	-1.0586024636449675e-11	False	-0.06678791729636269	-7.448253623807414	True	b_number	-50.3	-1.0	-1.0		-1.0	True	gem	1.075549435585284e-08	-1.471494583679535e-07	False	True	True	True
smg	39.6			0																										False	False
spoT	36.6	b3650	b_number	3	3.0	GDPDPK,GDPTPDP,PPGPPDP	0.0	0.8966923076922516	0.8966923076926084	0.8966923076153507	0.8659230769305039	3.568256801145253e-13	3.9793547580759364e-11	False	-0.030769230684846827	-3.4314145915530414	True	b_number	-63.4	-1.0	1.0		-1.0	True	gem	8.652022453624006e-05	6.52814999685675e-05	False	False	True	True
ssuA	191.3	b0936	b_number	5	5.0	BUTSO3abcpp,ETHSO3abcpp,ISETACabcpp,MSO3abcpp,SULFACabcpp	0.0	0.8966923076922516	0.896692307693135	0.8966923076153507		8.834044606942371e-13	9.851812635348545e-11	False			False	b_number	91.30000000000001	1.0	1.0		0.0							False	True
talA	49.7	b2464	b_number	1	1.0	TALA	0.0	0.8966923076922516	0.8966923076917238	0.8966923076153507	0.8966923076910189	-5.278000259067994e-13	-5.886077324173304e-11	False	7.566824944404971e-11	8.438596919079261e-09	False	b_number	-50.3	-1.0	-1.0		1.0		gem	0.000485318871529057	-0.003758883051826698	False	True	True	True
tdcA	249.0			0																										False	False
thrB	33.5	b0003	b_number	2	2.0	4HTHRK,HSK	0.42954832444192775	0.8966923076922516	0.8966923076909299	0.8966923076153507		-1.3217205108162489e-12	-1.4739955941161798e-10	False			False	b_number	-66.5	-1.0	-1.0		0.0		gem	1.6946008061468383e-05	-2.4762138998598712e-06	False	True	True	True
tnaA	50.7	b3708	b_number	3	3.0	CYSDS,SERD_L,TRPAS2	0.044866037393704886	0.8966923076922516	0.8966923076894285	0.8966923076153507	0.560992978275072	-2.823075107016848e-12	-3.1483208708262263e-10	False	-0.3356993293402787	-37.437516357537646	True	b_number	-49.3	-1.0	-1.0		-1.0	True	gem	0.000768376895755667	-0.1792793703593985	False	True	True	True
ucpA	64.9			0																					denovo	0.00021329935419590724	-0.0021659663545595766	False	True	True	False
wzc	58.8			0																										False	False
xylG	29.5	b3567	b_number	1	1.0	XYLabcpp	0.0	0.8966923076922516	0.896692307688621	0.8966923076153507		-3.630651335129187e-12	-4.048937750423126e-10	False			False	b_number	-70.5	-1.0	-1.0		0.0							False	True
yabI	47.7			0																										False	False
yafV	55.8			0																					denovo	1.4071037034448984e-06	-0.0006189507145423122	False	True	True	False
ybcV	57.8			0																										False	False
ycbJ	151.9			0																										False	False
yciN	151.9			0																										False	False
ydcJ	173.1			0																					denovo	2.225401951018544e-06	-1.691628189720448e-05	True	False	True	False
yeaP	35.5	b1794	b_number	1	1.0	DGUNC	0.0	0.8966923076922516	0.8966923076932003	0.8966923076153507	0.8659230769289995	9.486855745421963e-13	1.0579833978767541e-10	False	-0.03076923068635118	-3.431414591720808	True	b_number	-64.5	-1.0	1.0		-1.0	True	denovo	-1.746349571133242e-14	-4.2065659145447047e-14	True	True	True	True
yegH	53.8			0																										False	False
yfaY	53.8			0																					denovo	2.5074378258804596e-06	-2.14532207158469e-05	False	True	True	False
yfdN	41.6			0																										False	False
yfeD	178.2			0																										False	False
yfjR	44.7			0																										False	False
yhcE	49.7			0																										False	False
yifJ	192.3	b3792	b_number	1	1.0	ECAtpp	0.0	0.8966923076922516	0.8966923076917969	0.8966923076153507		-4.547473508864641e-13	-5.071386773204429e-11	False			False	b_number	92.30000000000001	1.0	-1.0		0.0							False	True
yjcC	173.1			0																					denovo	1.746349571133242e-14	1.4021886381815683e-14	True	True	True	False
yjcQ	33.5			0																										False	False
ylcG	16.3			0																					denovo	2.2017684800279278e-06	-0.0006989298839947985	False	True	True	False
ymgC	220.6			0																										False	False
ynbD	51.7			0																										False	False
yncC	225.7			0																										False	False
yncG	214.6			0																										False	False
yoaE	66.9			0																										False	False
yoeB	49.7			0																										False	False
yqjA	180.2			0																										False	False
