dataset	relpath	url	bytes	md5	drop
korem2015	PRJEB9718/ERR969466/ERR969466.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969466/ERR969466.fastq.gz	1874177052	cf55b353b15a80a793b5c37315af35c4	1
korem2015	PRJEB9718/ERR969477/ERR969477.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969477/ERR969477.fastq.gz	650048825	3a7165be9349f392c3c8f7fae353df90	1
korem2015	PRJEB9718/ERR969485/ERR969485.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969485/ERR969485.fastq.gz	207312996	51ad7762f04a692cc62aad479954932e	1
korem2015	PRJEB9718/ERR969487/ERR969487.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969487/ERR969487.fastq.gz	763968617	8f1caa7ed824bd847690409e3e5470ac	1
korem2015	PRJEB9718/ERR969488/ERR969488.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969488/ERR969488.fastq.gz	116388793	0eed08daa1872150efeb1014e89640f7	1
korem2015	PRJEB9718/ERR969489/ERR969489.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969489/ERR969489.fastq.gz	233829623	a53ac4178414b6dce7f92e3a6ebe1198	1
korem2015	PRJEB9718/ERR969492/ERR969492.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969492/ERR969492.fastq.gz	132331926	c086c8affa6cd287592764928ba9af49	1
korem2015	PRJEB9718/ERR969493/ERR969493.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969493/ERR969493.fastq.gz	65747816	a741eeff67cc8cffe14c8dfe170fd7f3	1
korem2015	PRJEB9718/ERR969496/ERR969496.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969496/ERR969496.fastq.gz	97631197	daa55f6bd1fb0446849636a762419913	1
korem2015	PRJEB9718/ERR969501/ERR969501.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969501/ERR969501.fastq.gz	697078087	04d572116bdf0f30951ccfced0bc4927	1
korem2015	PRJEB9718/ERR969473/ERR969473.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969473/ERR969473.fastq.gz	1588353396	df5bc35fe90535137156ad78b34c5e15	1
korem2015	PRJEB9718/ERR969475/ERR969475.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969475/ERR969475.fastq.gz	587991389	c087e93e675371834c2036280460c981	1
korem2015	PRJEB9718/ERR969481/ERR969481.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969481/ERR969481.fastq.gz	1555333234	3cb7da52e638c67578e95f57b01cc347	1
korem2015	PRJEB9718/ERR969494/ERR969494.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969494/ERR969494.fastq.gz	186238698	fd813b351a1324cf6cbd1d335006b55c	1
korem2015	PRJEB9718/ERR969495/ERR969495.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969495/ERR969495.fastq.gz	124297420	8bf3c6f82b3e61d6bfa74cd7e4078699	1
korem2015	PRJEB9718/ERR969500/ERR969500.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969500/ERR969500.fastq.gz	129368041	a4d9f4221919c1cb0c0a22cb3d8bac60	1
korem2015	PRJEB9718/ERR969503/ERR969503.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969503/ERR969503.fastq.gz	113938599	086793bca37e7b3e80a454a77bc563f1	1
korem2015	PRJEB9718/ERR969507/ERR969507.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969507/ERR969507.fastq.gz	134678253	41bee53c23599af931f4fabb86af8a27	1
korem2015	PRJEB9718/ERR969508/ERR969508.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969508/ERR969508.fastq.gz	138917817	c45c1a28f88eebb1ea7e126e5e7b0057	1
korem2015	PRJEB9718/ERR969509/ERR969509.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR969/ERR969509/ERR969509.fastq.gz	604510775	92382b7361a4f8888d6906ed92c5408d	1
karlsson2013	PRJEB1786/ERR260134/ERR260134_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260134/ERR260134_1.fastq.gz	6825465104	2984beb467642fe30e44294cbdf0fc8c	1
karlsson2013	PRJEB1786/ERR260134/ERR260134_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260134/ERR260134_2.fastq.gz	6897769885	502fce7437fe91cbb2bea7b30287b24a	1
karlsson2013	PRJEB1786/ERR260138/ERR260138_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260138/ERR260138_1.fastq.gz	1489065935	c393ecea2baca0785c3a6c7418d9c56a	1
karlsson2013	PRJEB1786/ERR260138/ERR260138_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260138/ERR260138_2.fastq.gz	1494192440	a5a8f1d63d5c38cd5539a60bd29e04e6	1
karlsson2013	PRJEB1786/ERR260161/ERR260161_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260161/ERR260161_1.fastq.gz	2078400720	cf52378482e3fef92d537585bce1943f	1
karlsson2013	PRJEB1786/ERR260161/ERR260161_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260161/ERR260161_2.fastq.gz	2049090801	42d8b5081e454b5da176a18b18b870f7	1
karlsson2013	PRJEB1786/ERR260166/ERR260166_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260166/ERR260166_1.fastq.gz	2114644375	d2f284d0a9f42c12f6e66dd65a3cb75f	1
karlsson2013	PRJEB1786/ERR260166/ERR260166_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260166/ERR260166_2.fastq.gz	2076570352	4a914f509018f5231516e266245533de	1
karlsson2013	PRJEB1786/ERR260168/ERR260168_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260168/ERR260168_1.fastq.gz	2246558623	79a90849b327d279cfe6668c64431754	1
karlsson2013	PRJEB1786/ERR260168/ERR260168_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260168/ERR260168_2.fastq.gz	2206806110	da42cf0ab24f3232d062002af51fa50d	1
karlsson2013	PRJEB1786/ERR260170/ERR260170_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260170/ERR260170_1.fastq.gz	1471211988	b50967e91fb467cdb9274cc27da3f130	1
karlsson2013	PRJEB1786/ERR260170/ERR260170_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260170/ERR260170_2.fastq.gz	1447155147	c7d6ef2f7b3c2a59fbfc98167a7e01fa	1
karlsson2013	PRJEB1786/ERR260173/ERR260173_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260173/ERR260173_1.fastq.gz	2754951025	6604a18cc53fd0363bc67d748c387e3c	1
karlsson2013	PRJEB1786/ERR260173/ERR260173_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260173/ERR260173_2.fastq.gz	2796457590	9112827809afea029f8baf98611d324d	1
karlsson2013	PRJEB1786/ERR260175/ERR260175_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260175/ERR260175_1.fastq.gz	1462157610	7fdccbde3fe24698b79d84934173cc4d	1
karlsson2013	PRJEB1786/ERR260175/ERR260175_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260175/ERR260175_2.fastq.gz	1482682287	5d64ddf14e497157c29bdb15be3f6f0e	1
karlsson2013	PRJEB1786/ERR260176/ERR260176_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260176/ERR260176_1.fastq.gz	1715272043	21bfde77891b2454dcc07dc554a4899a	1
